OfficeGuid,OfficeCode,OfficeName,PhysicalAddress,MailingAddress,Phone,Fax,IsActive,IsDeleted,CreatedOn,UpdatedOn,CreatedBy,UpdatedBy,MailingZipCode,MailingStateId,MailingCountryId,MailingCity,PhysicalZipCode,PhysicalStateId,PhysicalCountryId,PhysicalCity,PhysicalAddressLine1,MailingAddressLine1
{F6DB121E-234E-4C2A-BB06-0717D3506286},84,test demo two,new road,,01-58-656431,,0,1,2019-05-24 02:38:22.953000000,2019-05-24 02:38:22.953000000,{F6DB121E-234E-4C2A-BB06-0717D3506286},{F6DB121E-234E-4C2A-BB06-0717D3506286},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,542,,{6A2618DC-BE29-4E32-B255-9AE5E5BA7E60},barcelona,,
{896195F3-E603-4B1C-A41C-2B62610DC83C},05,Knoxville,2800 Solway Rd,,(865) 413-1021,(865) 413-1029,0,0,2019-05-21 11:05:45.337000000,2019-05-21 11:05:45.337000000,{00000000-0000-0000-0000-000000000000},{53D4982C-7352-4BA5-B60D-C51E8BFEEE01},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,37931,{0EFBCBBE-BE61-41D3-8E94-D6CD1ECD2537},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},Knoxville,,
{B8FBFD25-B6CA-42C3-930C-2E77E5ED777F},5h,demo one test,stree 56,,435345345345,PO 45654,1,0,2019-05-28 23:03:50.240000000,2019-05-28 23:03:50.240000000,{B8FBFD25-B6CA-42C3-930C-2E77E5ED777F},{B8FBFD25-B6CA-42C3-930C-2E77E5ED777F},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,+9512,{8F084E64-B08A-4531-B638-FC6EEDA3C194},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},CY,,
{B5285B9B-507A-4B19-9199-43BFB08F847D},04,Greenville one,777 Lowndes Hill Road,,(864) 467-0811,(864) 467-9758,0,0,2019-05-24 04:15:12.687000000,2019-05-24 04:15:12.687000000,{00000000-0000-0000-0000-000000000000},{E2729A24-0693-4E87-83E9-B391B41C19B9},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,29607,{0A686997-2139-4D7C-AF9F-06BF27C071AB},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},Greenville,"Building 3, Suite 301",
{E8CBC1FB-784A-43BF-9234-52152FBB952D},07,"White Sands, US DOD WSMR Site",9C Contractor Row,PO Box 10,(575) 647-4221,,0,0,2019-04-15 12:31:41.787000000,2019-04-15 12:31:41.787000000,{00000000-0000-0000-0000-000000000000},{5566C568-C182-478E-8A51-D33278FE9D61},88002,{8B9F9B16-1BF4-4332-A543-ED7C0D019127},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},White Sands Missile Range,88002,{8B9F9B16-1BF4-4332-A543-ED7C0D019127},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},White Sands Missile Range,,
{72320EE1-E0CE-434D-84CB-62D944D1198E},56,demo test one,Stree 45 new road,,984606526565,,1,0,2019-05-28 23:32:33.360000000,2019-05-28 23:32:33.360000000,{00000000-0000-0000-0000-000000000000},{C55FBF3B-23CE-42AD-9B9F-26BEBB3E0A19},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,+952,{BF49E9C2-19F3-409E-929A-EB1E3204BDF6},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},los,,
{20CDD7E0-4D3F-46F5-A41E-857AF1E6DC8C},02,Anchorage,2525 C. Street Suite 130,,(907) 290-8222,,0,0,2019-04-14 20:24:53.220000000,2019-04-14 20:24:53.220000000,{20CDD7E0-4D3F-46F5-A41E-857AF1E6DC8C},{20CDD7E0-4D3F-46F5-A41E-857AF1E6DC8C},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,99503,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},Anchorage,,
{EC43C53E-F863-48F6-83F5-934F87C5C56F},98,roajna,new,,8674565,,1,0,2019-05-24 02:33:42.163000000,2019-05-24 02:33:42.163000000,{EC43C53E-F863-48F6-83F5-934F87C5C56F},{EC43C53E-F863-48F6-83F5-934F87C5C56F},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,65,{8B9F9B16-1BF4-4332-A543-ED7C0D019127},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},ffd,,
{B6D7592A-011A-44E8-995B-94489DD3DC4B},9,sdfdsf,sdfsdf,,345345,,1,0,2019-05-28 23:47:34.403000000,2019-05-28 23:47:34.403000000,{B6D7592A-011A-44E8-995B-94489DD3DC4B},{B6D7592A-011A-44E8-995B-94489DD3DC4B},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,546564,{8F084E64-B08A-4531-B638-FC6EEDA3C194},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},sfdsfdfgdf,,
{2DC39111-0013-4DCD-A2C6-B5286A907842},1,demon,abc,,98566646464,Ph 50,1,0,2019-05-28 23:04:50.423000000,2019-05-28 23:04:50.423000000,{2DC39111-0013-4DCD-A2C6-B5286A907842},{2DC39111-0013-4DCD-A2C6-B5286A907842},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,3434,{8F084E64-B08A-4531-B638-FC6EEDA3C194},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},by,,
{A61BC024-F1CE-47C2-88AC-D3EB122188FE},01,Idaho Falls,425 Higham St,,(208) 528-8714,,0,0,2019-05-07 09:52:22.593000000,2019-05-07 09:52:22.593000000,{00000000-0000-0000-0000-000000000000},{6FA56037-6FC7-41CD-8D8D-30DF15A268E1},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,83402,{ADD8C0C2-C764-4C84-8D90-17DB693CFDAC},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},Idaho Falls,,
{73AFC688-F79E-47C0-946F-D6AA3F86862E},64,testing one,new street 52,,50-989-5955656565,,1,0,2019-05-24 03:00:05.303000000,2019-05-24 03:00:05.303000000,{73AFC688-F79E-47C0-946F-D6AA3F86862E},{73AFC688-F79E-47C0-946F-D6AA3F86862E},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,987,{AC9C9E8D-87D3-47D2-A3D0-CD4517F6C0DF},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},Boston,,
{546F4606-B4BE-4DEF-978E-E4BC6C47039E},82,test demo two12,high street,new place one,056565656565,,0,1,2019-05-28 23:29:56.873000000,2019-05-28 23:29:56.873000000,{00000000-0000-0000-0000-000000000000},{58D7AE65-C7A0-4471-B69E-ADF40C9A354E},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,9874,{ADD8C0C2-C764-4C84-8D90-17DB693CFDAC},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},new place,east road,
{2A20DE78-5F9F-47A3-8DBC-EA7F16E992F3},08,Denver,"9155 E. Nichols Ave, Suite 125",,(303) 741-4488,,1,0,2019-04-15 12:24:39.933000000,2019-04-15 12:24:39.933000000,{2A20DE78-5F9F-47A3-8DBC-EA7F16E992F3},{2A20DE78-5F9F-47A3-8DBC-EA7F16E992F3},,,{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},,80112,{DEC8776A-8810-4AC9-AC32-C2D939EED031},{2F3DD935-2B2A-4240-A374-A973D5EDCB8F},Centennial,,
