Id,DepartmentId,DepartmentName,CustomerCode,CustomerName,ContractingOfficeCode,ContractingOfficeName,StartDate,EndDate,AddressCity,AddressState,ZipCode,CountryCode
{9DFB2928-5E8C-442F-8EF4-0020EE73B2FA},1200,"AGRICULTURE, DEPARTMENT OF",12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,129700,USDA APHIS PPQ,2016-04-01 00:00:00,,SACRAMENTO,CA,95832,USA
{0FA6233D-357A-4C5E-A2E9-004EA1C41A8A},1200,"AGRICULTURE, DEPARTMENT OF",12K2,AGRICULTURAL MARKETING SERVICE,1274JF,USDA  AMS  FRUIT AND VEG DIV  PPB,2016-04-01 00:00:00,,HOUSTON,TX,77004-1036,USA
{DA5D4EC2-E3AD-40AC-85BA-004EADBB7F14},1200,"AGRICULTURE, DEPARTMENT OF",12K4,"GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",1264U7,USDA GIPSA,2016-04-01 00:00:00,,KANSAS CITY,MO,64120-1370,USA
{52268423-628E-46CB-9AF1-0056C18A0744},1200,"AGRICULTURE, DEPARTMENT OF",12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,1242EY,USDA APHIS PPQ,2016-04-01 00:00:00,,GAINESVILLE,FL,32606,USA
{B23D5AFD-1D6A-4AC1-8063-005BD1EB0E50},6000,RAILROAD RETIREMENT BOARD,6000,RAILROAD RETIREMENT BOARD,60RR13,RRB - OFFICE OF INSPECTOR GENERAL,2016-04-01 00:00:00,,CHICAGO,IL,60611-1275,USA
{55E4DC4D-E592-4997-9E93-005DC368284D},9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62095,NAVOPSPTCEN COLUMBUS OH,2005-10-01 00:00:00,,COLUMBUS,OH,43217-5000,USA
{EFBC556A-3D2A-4F6C-8E01-006904297845},9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00023,NAVAL SUPPLY SYSTEMS COMMAND,2004-10-01 00:00:00,,MECHANICSBURG,PA,17050-0791,USA
{8989EB7C-806C-45E4-8329-006E7C64B06B},1200,"AGRICULTURE, DEPARTMENT OF",12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,127D36,USDA  APHIS  PPQ,2016-04-01 00:00:00,,EAGLE PASS,TX,78852,USA
{7B7A161B-0AA1-4AC0-BB89-00861CA11775},3600,"VETERANS AFFAIRS, DEPARTMENT OF",3600,"VETERANS AFFAIRS, DEPARTMENT OF",365535,DEPT OF VETERANS AFFAIRS,2016-04-01 00:00:00,,TOLEDO,OH,43614,USA
{63A62136-23EA-4021-9E2A-0090CA911B1F},1200,"AGRICULTURE, DEPARTMENT OF",12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,1202YJ,USDA  APHIS  ADC,2016-04-01 00:00:00,,TWIN FALLS,ID,83303-0593,USA
{BACBAA22-A7F4-45A8-A59E-00A66D026F24},8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80NM00,NASA MANAGEMENT OFFICE -- JPL,2016-04-01 00:00:00,,PASADENA,CA,91109,USA
{00E9C9DB-7D98-432E-9B9D-00B24644DB9C},1500,"JUSTICE, DEPARTMENT OF",1540,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,15B509,FMC FORTH WORTH,2016-04-01 00:00:00,,FORT WORTH,TX,76119,USA
{47051AFB-8ABF-4EB7-A94B-00B9FC1F00A3},3600,"VETERANS AFFAIRS, DEPARTMENT OF",3600,"VETERANS AFFAIRS, DEPARTMENT OF",363221,DEPT OF VETERANS AFFAIRS,2016-04-01 00:00:00,,PERRY POINT,MD,21902,USA
{4A843749-9070-4145-A91B-00C98F77C6EC},9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,V55614,TWENTY SECOND NAVAL CONST REGIMENT,2006-10-01 00:00:00,,CBC GULFPORT,MS,39501,USA
{9C0B8C71-C9A8-45BE-8AA3-00D3D8EC247F},9700,DEPT OF DEFENSE,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),S3707A,DCMA TULSA,2004-10-01 00:00:00,,TULSA,OK,74135-7482,USA
{CDA16996-D6C5-42DA-A63E-00D847B4EBAF},1200,"AGRICULTURE, DEPARTMENT OF",12D2,FARM SERVICE AGENCY,121612,USDA FSA NH MERRIMACK-BLKNAP-HLSBRO,2016-04-01 00:00:00,,CONCORD,NH,03301,USA
{F9438302-E10C-494A-AE47-00D8BFE800D7},1200,"AGRICULTURE, DEPARTMENT OF",12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,120E26,USDA APHIS WILDLIFE SVC,2016-04-01 00:00:00,,YAKIMA,WA,98903,USA
{0C827C37-967D-45CF-BADB-00E6C2CCA506},4700,GENERAL SERVICES ADMINISTRATION,4740,PUBLIC BUILDINGS SERVICE,47PC09,PBS R2,2016-04-01 00:00:00,,NEW YORK,NY,10007,USA
{5A1B27A2-4BAD-4621-A547-00EBA5A3E108},1200,"AGRICULTURE, DEPARTMENT OF",12K2,AGRICULTURAL MARKETING SERVICE,1242L7,USDA  AMS  LS AND SEED DIVISION,2016-04-01 00:00:00,,WINTER PARK,FL,32790,USA
{AA799C69-9A57-4305-98DA-00EE9A95E219},4700,GENERAL SERVICES ADMINISTRATION,4732,FEDERAL ACQUISITION SERVICE,47QXDA,GSA FAS COMMISSIONER STAFF OFFICE,2016-04-01 00:00:00,,WASHINGTON,DC,20407,USA
{1AAD256F-E7FD-4359-B5D7-00F1594B4A6D},4700,GENERAL SERVICES ADMINISTRATION,4740,PUBLIC BUILDINGS SERVICE,47PG01,PBS R6,2016-04-01 00:00:00,,KANSAS CITY,MO,64108,USA
{FC1F7FD3-700A-4F73-BAC0-00F21CE96689},1200,"AGRICULTURE, DEPARTMENT OF",12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,1242AN,USDA APHIS PPQ FL,2016-04-01 00:00:00,,FT MEYERS,FL,33905,USA
{5D09343C-286C-4AE1-9647-00F38D55A04F},1200,"AGRICULTURE, DEPARTMENT OF",12K2,AGRICULTURAL MARKETING SERVICE,1245LN,USDA AMS TOBACCO FIELD OFFICE,2016-04-01 00:00:00,,RALEIGH,NC,27608,USA
{0DB877E5-EBCE-432D-BA64-00F441D6272B},9700,DEPT OF DEFENSE,5700,DEPT OF THE AIR FORCE,FA8615,FA8615  AFLCMC WWM,2011-10-01 00:00:00,,WRIGHT PATTERSON AFB,OH,45433-7406,USA
{D0A3890D-143F-4B9A-9203-01171FDA1133},2000,"TREASURY, DEPARTMENT OF THE",2036,BUREAU OF THE FISCAL SERVICE,203428,ARC DIV PROC SVCS - HUD OIG,2016-04-01 00:00:00,,PARKERSBURG,WV,26101,USA
{F8487FE2-A2B8-4187-9CF3-014B64D4EBD2},1200,"AGRICULTURE, DEPARTMENT OF",12K2,AGRICULTURAL MARKETING SERVICE,12510C,USDA  AMS  PD  MARKET NEWS,2016-04-01 00:00:00,,GLEN ELLYN,IL,60137,USA
{0012FCAA-379B-42CE-BCD2-014BC181A625},3600,"VETERANS AFFAIRS, DEPARTMENT OF",3600,"VETERANS AFFAIRS, DEPARTMENT OF",363630,DEPARTMENT OF VETERANS AFFAIRS,2016-04-01 00:00:00,,STATE COLLEGE,PA,16801,USA
{A50696B1-461B-4CAA-B16E-014FA6440B4A},1200,"AGRICULTURE, DEPARTMENT OF",12K2,AGRICULTURAL MARKETING SERVICE,124745,USDA  AMS  COTTON DIVISION,2016-04-01 00:00:00,,MEMPHIS,TN,38133-2701,USA
{9221EAF9-8ACF-43F7-B5BC-017A7AC0D501},1400,"INTERIOR, DEPARTMENT OF THE",1425,BUREAU OF RECLAMATION,140R18,EPHRATA FIELD OFFICE,2016-04-01 00:00:00,,EPHRATA,WA,98823,USA
{CE676ED5-7C60-4038-AE9F-017BBA049446},1200,"AGRICULTURE, DEPARTMENT OF",12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,1256EN,USDA APHIS WS,2016-04-01 00:00:00,,WAUPUN,WI,53963,USA
{12EC2B73-141A-4274-9E94-017C92544351},1200,"AGRICULTURE, DEPARTMENT OF",12K4,"GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",123367,USDA GIPSA,2016-04-01 00:00:00,,CHESAPEAKE,VA,23324,USA
{AACC04AC-DEA2-4CA3-8B2D-017F3D795D39},1200,"AGRICULTURE, DEPARTMENT OF",12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,127MM3,USDA APHIS PPQ,2016-04-01 00:00:00,,EDINBURG,TX,78539,USA
{ED35D242-65AC-4521-A7A3-01804C8A13E8},9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N09520,STRIKE FIGHTER WING US PAC FLEET,2006-10-01 00:00:00,,LEMOORE,CA,93246-5022,USA
{7D0672C4-5EE1-4FA1-B5E7-018EDEA6F576},9700,DEPT OF DEFENSE,5700,DEPT OF THE AIR FORCE,FA8051,FA8051  772 ESS PKD,2015-10-01 00:00:00,,TYNDALL AFB,FL,32403-5322,USA
{86BF5764-F3CD-4C24-BA1D-01A31D5F0532},1200,"AGRICULTURE, DEPARTMENT OF",12H5,NATIONAL AGRICULTURAL STATISTICS SERVICE,127269,USDA GIPSA,2016-04-01 00:00:00,,NEW ORLEANS,LA,70129,USA
{4A2FAFDD-CA18-4CBB-B1CD-01C379CA719F},1500,"JUSTICE, DEPARTMENT OF",1544,U.S. MARSHALS SERVICE,15M028,"U.S. DEPT OF JUSTICE, USM, S/IN",2016-04-01 00:00:00,,INDIANAPOLIS,IN,46204,USA
{D9357469-03A0-488C-A7CF-01CDB09790ED},9568,"UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG",9568,"UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG",952542,VOA NAIROBI BUREAU,2016-04-01 00:00:00,,NAIROBI,,,KEN
{983B436C-4049-49EE-910A-01D69D470F49},1200,"AGRICULTURE, DEPARTMENT OF",12K2,AGRICULTURAL MARKETING SERVICE,1224G4,USDA AMS FRUIT  VEG DIV FPB,2016-04-01 00:00:00,,PITTSTON TOWNSHIP,PA,18460,USA
{0D753D6B-C3AF-4EF0-9FB3-01E8C585A0E1},1500,"JUSTICE, DEPARTMENT OF",1524,DRUG ENFORCEMENT ADMINISTRATION,15DDSE,SEATTLE WA DIVISION OFFICE,2016-04-01 00:00:00,,SEATTLE,WA,98104,USA
{90FE9B1B-9B02-4463-BEA7-01FDEB75E637},1900,"STATE, DEPARTMENT OF",1900,"STATE, DEPARTMENT OF",19NS50,U.S. EMBASSY PARAMARIBO,2016-04-01 00:00:00,,WASHINGTON,DC,20520,USA
{C8BA54DE-D931-45BB-8C4F-020723A74546},8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80ARC0,NASA AMES RESEARCH CENTER,2016-04-01 00:00:00,,MOFFETT FIELD,CA,94035,USA
